ID_CLIENTE,NOMBRE,NUM_TELEFONO,EMAIL,ESTUDIOS,SEXO,EDAD
27034568Y,"ESCOLANO, RENATA",668503101,renata.escolano@outlook.com,NC,F,27
53869677U,"PORTERO, SEGISMUNDO",699419617,segismundo.portero@outlook.com,ESTUDIANTE,M,78
69740618U,"CABELLO, FABIOLA",688743810,NULL,JUBILADO,F,56
29462010W,"LOSADA, SEGISMUNDO",674303851,segismundo.losada@hotmail.com,ESTUDIANTE,M,61
94718147K,"MARCO, JACOBO",639079015,jacobo.marco@hotmail.com,NC,M,47
50652573S,"COCA, PAOLA",693531482,paola.coca@yahoo.es,JUBILADO,F,43
48472174Y,"SAMPER, ELOY",616122227,eloy.samper@hotmail.com,NC,M,85
49105369J,"SOLANA, MARCOS",612253718,marcos.solana@gmail.com,JUBILADO,M,17
79116927C,"LOPEZ, RICARDA",649659992,ricarda.lopez@yahoo.es,JUBILADO,F,55
28418924B,"SUÁREZ, CÉSAR",622986855,césar.suárez@hotmail.com,ESTUDIANTE,M,74
21738382Z,"VIÑA, CHITA",681175106,chita.viña@hotmail.com,NC,F,50
86649813N,"CRIADO, LOURDES",661042245,lourdes.criado@yahoo.es,NC,F,21
88753987D,"OLIVARES, DOROTEA",694148575,dorotea.olivares@gmail.com,JUBILADO,F,72
94178581P,"SANTAMARIA, CLARA",659531537,clara.santamaria@outlook.com,JUBILADO,F,89
58985800J,"AMO, TEODOSIO",696581808,teodosio.amo@hotmail.com,JUBILADO,M,62
72670527T,"BARRANCO, LEOPOLDO",666414530,leopoldo.barranco@gmail.com,ESTUDIANTE,M,59
66373819W,"CAL, SOL",673514182,NULL,NC,F,28
82426843B,"RUIZ, VILMA",615692116,vilma.ruiz@outlook.com,ESTUDIANTE,O,26
85600391W,"FALCÓ, RUPERTO",687206920,ruperto.falcó@hotmail.com,JUBILADO,M,38
